label,source,target,id,Weight,Nature of Relationship,Weight_dynamic,Citation,size
Corporate,56,57,23,1.0,Dick Armey went to work as a Lobbyist for DLA Piper after leaving congress,"<[2008.0, 2016.0, 1.0]>",,1
Personal,154,148,183,1.0,"Hugh and Tony are brothers. Hugh teams up with younger brother Tony in an enterprise to grow and export hazelnuts from the former Soviet Republic of Georgia. The $118 million venture comes to a screeching halt when Bill and Hillary discover that the brothers' business partner also happens to be the chief political rival of Georgian president Eduard Shevardnadze, a key U.S. ally. Months later, Hugh and Tony were back in the headlines — the brothers reportedly thought it might be OK if they stopped actually growing the nuts and just kept exporting them.",,"http://content.time.com/time/nation/article/0,8599,100329,00.html",1
Personal,148,88,188,1.0,Rodham uses CF as political leverage for positions,,http://www.washingtonpost.com/politics/role-of-hillary-clintons-brother-in-haiti-gold-mine-raises-eyebrows/2015/03/20/c8b6e3bc-cc05-11e4-a2a7-9517a3a70506_story.html,1
Donor,75,66,65,1.0,"Donated over $850,000 to Obama","<[2008.0, 2016.0, 1.0]>",https://www.opensecrets.org/pres08/contrib.php?cid=N00009638,1
Personal,67,1,36,1.0,Married,"<[6.31152E11, 1.479168E12, 1.0]>",,1
Corporate,89,94,87,1.0,Endeavour Mining corp. takes exclusive advise from Giustra's Fiore Financial,"<[2008.0, 2016.0, 1.0]>",http://www.endeavourmining.com/s/Home.asp,1
Corporate,140,131,159,1.0,Raines was in and out of Fannie May from 1991-2004,"<[6.62688E11, 1.0729152E12, 1.0]>",http://en.wikipedia.org/wiki/Franklin_Raines,1
Corporate,85,86,78,1.0,"Anne Gust was an executive for The Gap, Inc. from 1991-2005","<[2008.0, 2016.0, 1.0]>",http://www.bloomberg.com/research/stocks/people/person.asp?personId=274293&ticker=JACK&previousCapId=316829&previousTitle=Jack%2520in%2520the%2520Box%2520Inc.,1
Corporate,97,98,97,1.0,Mark was previous head of TNT Express (COO and CEO),"<[6.31152E11, 1.3280544E12, 1.0]>",https://www.linkedin.com/pub/mark-gunton/16/957/750,1
Donor,21,66,64,1.0,Donated over 1 million to the Obama campaign,"<[2008.0, 2016.0, 1.0]>",https://www.opensecrets.org/pres08/contrib.php?cid=N00009638,1
Shell Money,44,31,9,1.0,Shell PAC,"<[2008.0, 2016.0, 1.0]>",,1
Corporate,118,112,126,1.0,Spellings is on the Board of Directors,"<[9.92214E11, 1.479168E12, 1.0]>",http://www.reuters.com/article/2012/06/11/idUS112254+11-Jun-2012+BW20120611,1
Personal,89,67,90,1.0,Guistra donated 31 million to Clinton Foundation,"<[2008.0, 2016.0, 1.0]>",http://www.nytimes.com/2008/01/31/us/politics/31donor.html?_r=0,1
Corporate,73,21,61,1.0,Chairman and Chief Executive Officer of Goldman Sachs,"<[9.151488E11, 1.1523996E12, 1.0]>",http://en.wikipedia.org/wiki/Henry_Paulson#Goldman_Sachs,1
Corporate,158,88,201,1.0,Osorio donated to the Clinton Foundation in return for deals with Haitian post-earthquake development,,http://www.bizjournals.com/southflorida/blog/2013/09/bill-hillary-chelsea-clinton-osorio.html,1
Corporate,89,88,82,1.0,"Donated over 25,000,000 to the Clinton Foundation","<[2008.0, 2016.0, 1.0]>",https://www.clintonfoundation.org/contributors?category=Greater+than+%2425%2C000%2C000,1
Donor,79,66,69,1.0,Donated over 500k to Obama,"<[2008.0, 2016.0, 1.0]>",https://www.opensecrets.org/pres08/contrib.php?cid=N00009638,1
Personal,4,69,51,1.0,Jeb is the son of G.H.W. Bush,"<[6.31152E11, 1.479168E12, 1.0]>",,1
Corporate,149,153,180,1.0,Owen Picket serves on board of CGFM,,http://web.archive.org/web/20101011173754/http://www.gulfcoastfunds.com/managementteam/OwenPickett.html,1
Personal,3,119,128,1.0,Christie went to Seaton Hall University as an Undergrad,"<[6.31152E11, 1.479168E12, 1.0]>",,1
Corporate,149,150,176,1.0,CGFM uses an offshore shell to invest in GreenTech Automotive,,http://web.archive.org/web/20110112001013/http://www.gulfcoastfunds.com/investmentfunds/automotivefund/,1
Personal,69,4,52,1.0,Jeb is the son of G.H.W. Bush,"<[6.31152E11, 1.479168E12, 1.0]>",,1
Corporate,166,167,204,1.0,Driscoll is the president of Burlington College,,http://en.wikipedia.org/wiki/Bernie_Sanders#Personal_life,1
Service,73,68,60,1.0,Served as Treasury Secretary under G.W. Bush,"<[1.152486E12, 1.2324096E12, 1.0]>",http://en.wikipedia.org/wiki/Henry_Paulson,1
Personal,64,63,30,1.0,Miriam González Durántez and Nick Clegg are married,"<[9.730368E11, 1.479168E12, 1.0]>",,1
Shell Money,46,38,11,1.0,Shell PAC,"<[2008.0, 2016.0, 1.0]>",,1
Corporate,143,90,166,1.0,Allison worked for ML for 28 years,"<[6.31152E11, 1.2306816E12, 1.0]>",http://en.wikipedia.org/wiki/Herbert_M._Allison,1
Corporate,125,126,136,1.0,Ashcroft Group lobbies for Oracle,"<[1.1045376E12, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/John_Ashcroft#Consultant_and_lobbyist,1
Service,140,67,158,1.0,Raines served in the Clinton Administration,"<[8.425692E11, 8.957052E11, 1.0]>",http://en.wikipedia.org/wiki/Franklin_Raines,1
Donor,19,4,4,1.0,It is Bush's PAC,"<[2008.0, 2016.0, 1.0]>",,1
Corporate,143,132,167,1.0,Allison worked at NY Fed,,http://en.wikipedia.org/wiki/Herbert_M._Allison,1
Corporate,133,131,144,1.0,Johnson ran FM from 1991–1998,"<[6.62688E11, 9.150624E11, 1.0]>",http://en.wikipedia.org/wiki/Fannie_Mae,1
Donor,77,66,67,1.0,Donated over 817k to Obama,"<[2008.0, 2016.0, 1.0]>",https://www.opensecrets.org/pres08/contrib.php?cid=N00009638,1
Corporate,103,75,104,1.0,Bill Gates founded Microsoft Corporation,"<[6.31152E11, 1.479168E12, 1.0]>",,1
Service,68,3,106,1.0,Bush appointed Christie Attny General of NJ,"<[1.0112256E12, 1.2280896E12, 1.0]>",http://en.wikipedia.org/wiki/Chris_Christie,1
Donor,17,11,2,1.0,O'Malley's PAC,"<[2008.0, 2016.0, 1.0]>",,1
Personal,101,89,101,1.0,Married to Frank Giustra,"<[2008.0, 2016.0, 1.0]>",http://en.wikipedia.org/wiki/Alison_Lawton,1
Corporate,137,145,172,1.0,"After Dodd left Senate, he went to work lobbying for MPAA","<[1.2989376E12, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Motion_Picture_Association_of_America,1
