label,source,target,id,Weight,Nature of Relationship,Weight_dynamic,Citation,size
Service,69,72,56,1.0,Member of CFR,"<[2008.0, 2016.0, 1.0]>",http://en.wikipedia.org/wiki/Members_of_the_Council_on_Foreign_Relations,1
Service,1,88,81,1.0,Board of Directors for Clinton Foundation,"<[9.783072E11, 1.479168E12, 1.0]>",https://www.clintonfoundation.org/about/board-directors,1
Personal,1,148,174,1.0,They are siblings,"<[6.31152E11, 1.479168E12, 1.0]>",,1
Shell Money,50,29,14,1.0,LMT donates to the PAC as a shell donor,"<[2008.0, 2016.0, 1.0]>",,1
Corporate,143,131,169,1.0,President and CEO from 2005–2008,"<[1.1045376E12, 1.2306816E12, 1.0]>",http://en.wikipedia.org/wiki/Fannie_Mae,1
Corporate,89,90,83,1.0,Frank worked for Merrill Lynch,"<[2008.0, 2016.0, 1.0]>",http://en.wikipedia.org/wiki/Frank_Giustra#Investment_industry,1
Corporate,124,146,173,1.0,"As Prime minister, Andreotti embezzled tens of millions with the vatican bank. Documented in the book: ""God's Bankers""",,http://www.npr.org/2015/01/30/382374060/from-laundering-to-profiteering-a-multitude-of-sins-at-the-vatican-bank,1
Corporate,158,160,192,1.0,Osorio was the CEO of InnoVida,"<[1.1676096E12, 1.2937536E12, 1.0]>",http://en.wikipedia.org/wiki/Claudio_Osorio,1
Personal,59,62,28,1.0,Previous Member,"<[2008.0, 2016.0, 1.0]>",,1
Donor,18,12,1,1.0,Webb's PAC,"<[2008.0, 2016.0, 1.0]>",,1
Corporate,121,127,137,1.0,Ashcroft is on the Board of Academi,"<[1.3042044E12, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/John_Ashcroft#Consultant_and_lobbyist,1
Service,151,68,179,1.0,Blanco servied during Katrina and was Gov. overseeing LA when Bush went in with FEMA,,http://en.wikipedia.org/wiki/Kathleen_Blanco#Hurricane_Katrina,1
Corporate,52,53,18,1.0,Owner,"<[6.31152E11, 1.479168E12, 1.0]>",,1
Service,114,66,124,1.0,Obama appointed Oates official at Dept. Of Labor,"<[1.245366E12, 1.3385052E12, 1.0]>",http://en.wikipedia.org/wiki/Employment_and_Training_Administration,1
Donor,83,5,75,1.0,RoF PAC was Romney's PAC in 2012 Election,"<[1.262304E12, 1.3529376E12, 1.0]>",https://www.opensecrets.org/orgs/summary.php?id=D000064429,1
Personal,1,67,35,1.0,Married,"<[6.31152E11, 1.479168E12, 1.0]>",,1
